???国际空间站,#genre#
电影_古天乐1,http://luobo.bkpcp.top/huya/29982675
电影_张卫健,http://luobo.bkpcp.top/huya/11342423
电影_看好,http://luobo.bkpcp.top/douyu/508118 
电影_强森,http://luobo.bkpcp.top/huya/21059581
电影_漫威,http://luobo.bkpcp.top/huya/11602034
电影_宇宙,http://luobo.bkpcp.top/huya/11342428
电影_怪兽,http://luobo.bkpcp.top/huya/21059577
电影_武侠,http://luobo.bkpcp.top/huya/11342427
电影_警匪,http://luobo.bkpcp.top/huya/11352886
电影_罪犯,http://luobo.bkpcp.top/huya/11352962
电影_枪战,http://luobo.bkpcp.top/huya/21059579
电影_海盗,http://luobo.bkpcp.top/huya/21059595
电影_赛车,http://luobo.bkpcp.top/huya/11279247
电影_推荐,http://luobo.bkpcp.top/huya/11602041
电影_救援,http://luobo.bkpcp.top/huya/21059594
电影_热血,http://luobo.bkpcp.top/huya/11352934
电影_盗墓,http://luobo.bkpcp.top/huya/21059552
电影_贺岁,http://luobo.bkpcp.top/huya/11601971
电影_玄幻http://luobo.bkpcp.top/huya/11342414
电影_谍战,http://luobo.bkpcp.top/huya/21059585
电影_战争,http://luobo.bkpcp.top/huya/21059592
电影_喜剧,http://luobo.bkpcp.top/huya/11352877
电影_港片,http://luobo.bkpcp.top/huya/11602043
电影_国产,http://luobo.bkpcp.top/huya/11352973
电影_梁家辉,http://luobo.bkpcp.top/huya/11342429
电影_刘德华2,http://luobo.bkpcp.top/huya/11342424
电影_甄子丹,http://luobo.bkpcp.top/huya/11352935
电影_周润发,http://luobo.bkpcp.top/huya/11342387
电影_五福星,http://luobo.bkpcp.top/huya/11282233
电影_许冠英,http://luobo.bkpcp.top/huya/11601972
电影_许氏三杰,http://luobo.bkpcp.top/huya/1160203
电影_小鬼头,http://luobo.bkpcp.top/huya/11352963
电影_八点档,http://luobo.bkpcp.top/huya/880261
电影_蜘蛛侠,http://luobo.bkpcp.top/huya/21059599
电影_贺岁片,http://luobo.bkpcp.top/huya/11601986
电影_功夫片,http://luobo.bkpcp.top/huya/11352941
电影_丧尸片,http://luobo.bkpcp.top/huya/21059578
电影_灾难片,http://luobo.bkpcp.top/huya/11602075
电影_谍战片,http://luobo.bkpcp.top/huya/21059587
电影_战争片,http://luobo.bkpcp.top/huya/21059574
电影_犯罪片,http://luobo.bkpcp.top/huya/11352974
电影_古装片,http://luobo.bkpcp.top/huya/11336590

电影_高分动作,http://luobo.bkpcp.top/huya/11352884
电影_动作电影,http://luobo.bkpcp.top/huya/11602077
电影_搞笑喜剧,http://luobo.bkpcp.top/huya/11342423
电影_喜剧专场,http://luobo.bkpcp.top/huya/11602044
电影_欢笑影院,http://luobo.bkpcp.top/huya/11352894
电影_不挤影院,http://luobo.bkpcp.top/huya/11352897
电影_国产悬疑,http://luobo.bkpcp.top/huya/11342395
电影_快意江湖,http://luobo.bkpcp.top/huya/11342435
电影_黑帮斗争,http://luobo.bkpcp.top/huya/11342419
电影_古墓系列,http://luobo.bkpcp.top/huya/11352913
电影_女神系列,http://luobo.bkpcp.top/huya/11336571
电影_经典女神,http://luobo.bkpcp.top/huya/11352909
电影_许氏三杰,http://luobo.bkpcp.top/huya/11602033
电影_经典港片,http://luobo.bkpcp.top/huya/11352965
电影_镖行天下,http://luobo.bkpcp.top/huya/11352969
电影_高能反转,http://luobo.bkpcp.top/huya/11352887
电影_嫣然影厅,http://luobo.bkpcp.top/huya/11601977
电影_喜乐影院,http://luobo.bkpcp.top/huya/21059580
电影_蘑菇影厅,http://luobo.bkpcp.top/huya/11601981
电影_搞笑恐怖,http://luobo.bkpcp.top/huya/11601960
电影_死神来了,http://luobo.bkpcp.top/huya/11352903
电影_变形金刚,http://luobo.bkpcp.top/huya/21059596
电影_怪兽系列,http://luobo.bkpcp.top/huya/21059554



??閗魚影視輪播,#genre# 
极速经典电影1,http://tc-tct.douyucdn2.cn/dyliveflv1/122402rK7MO9bXSq_2000.flv?wsAuth=8cea39337984fd3341cc9ec569502e4f&token=cpn-androidmpro-0-122402-0fcea45d2300cfa0ac75fafd8679bb53af10de8c33ae99d9&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
极速经典电影2,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=2ccc7b4ba29208aaba62dae54cbbd68c&token=cpn-androidmpro-0-20415-b6774b3b3249db17fff84d73c7585c95e780dbccdb08e4bc&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
极速经典电影3,http://tc-tct.douyucdn2.cn/dyliveflv1/85894rmovieChow_2000.flv?wsAuth=7d054e041804e80af8aa7e975e2d8573&token=cpn-androidmpro-0-85894-a3575d938a4aa309c687f5fb85a1009fc65cfbeeb2672310&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=pla
电影_八戒影院,http://luobo.bkpcp.top/douyu/1979257 
电影_粤语电影2,http://luobo.bkpcp.top/douyu/6566671 
电影_粤语电影3,http://luobo.bkpcp.top/douyu/1226741 
电影_粤语电影98,http://luobo.bkpcp.top/douyu/5033502 
电影_冰冰经典,http://luobo.bkpcp.top/douyu/74374 
电影_凌儿影院,http://luobo.bkpcp.top/douyu/1377142 
电影_小黛兮影,http://luobo.bkpcp.top/douyu/11553944 
电影_神乐影剧,http://luobo.bkpcp.top/douyu/122402 
电影_神乐剧场,http://luobo.bkpcp.top/douyu/85894 
电影_可乐影院,http://luobo.bkpcp.top/douyu/20415 
电影_小宇60帧,http://luobo.bkpcp.top/douyu/323876 
电影_電影劇場,http://luobo.bkpcp.top/douyu/7575350 
电影_花卷陪看,http://luobo.bkpcp.top/douyu/52787 
电影_女神电影,http://luobo.bkpcp.top/douyu/747764 
电影_变种人片,http://luobo.bkpcp.top/douyu/9651304  
电影_贝爷影厅1,http://luobo.bkpcp.top/douyu/252802 
电影_贝爷影厅2,http://luobo.bkpcp.top/douyu/36337 
电影_科幻动作,http://luobo.bkpcp.top/douyu/4332 
电影_欧美大片,http://luobo.bkpcp.top/douyu/2793084 
电影_不一样的电影,http://luobo.bkpcp.top/douyu/2632223 
电影_吃米滴虫,http://luobo.bkpcp.top/douyu/315457 
电影_悬疑惊悚,http://luobo.bkpcp.top/douyu/263824 
电影_华语经典,http://luobo.bkpcp.top/douyu/434971 
电影_邵氏影院,http://luobo.bkpcp.top/douyu/4246519 
电影_港台电影,http://luobo.bkpcp.top/douyu/3637778 
电影_漫威影片,http://luobo.bkpcp.top/douyu/6140589 
电影_豆瓣高分,http://luobo.bkpcp.top/douyu/8770422 
电影_倍速播放,http://luobo.bkpcp.top/douyu/4105989 
电影_宇哥电影,http://luobo.bkpcp.top/douyu/413573 
电影_网神影厅,http://luobo.bkpcp.top/douyu/508118 
电影_霍格影片,http://luobo.bkpcp.top/douyu/8814650 
电影_喜剧电影,http://luobo.bkpcp.top/douyu/9292492 
电影_译制国语,http://luobo.bkpcp.top/douyu/2436390 
电影_喜剧经典,http://luobo.bkpcp.top/douyu/9650887 
电影_下饭神剧,http://luobo.bkpcp.top/douyu/276200 
电影_蚂蚱影院,http://luobo.bkpcp.top/douyu/6079455 
电影_凛冬之地,http://luobo.bkpcp.top/douyu/8945323 
电影_邦德影院,http://luobo.bkpcp.top/douyu/9292499 
电影_林正英,http://luobo.bkpcp.top/douyu/7356023 
电影_林正英1,http://luobo.bkpcp.top/douyu/218859 
电影_刘德华电影,http://luobo.bkpcp.top/douyu/2516864 
电影_周星驰,http://luobo.bkpcp.top/douyu/1274132
漫威剧情原,http://luobo.bkpcp.top/douyu/6140589 
霍格沃茨原,http://luobo.bkpcp.top/douyu/8814650 
欧美大片原,http://luobo.bkpcp.top/douyu/2793084 
贝爷max原,http://luobo.bkpcp.top/douyu/4332 
贝爷影厅原,http://luobo.bkpcp.top/douyu/252802 
鱼宝恐怖原,http://luobo.bkpcp.top/douyu/1165374 
吃奶滴虫原,http://luobo.bkpcp.top/douyu/263824 
喜剧电影原,http://luobo.bkpcp.top/douyu/9292492 
避风影院原,http://luobo.bkpcp.top/douyu/9826611 
吃米滴虫原,http://luobo.bkpcp.top/douyu/315457 
冰冰经典原,http://luobo.bkpcp.top/douyu/74374 
星爷影院原,http://luobo.bkpcp.top/douyu/508118 
瑶瑶恐怖原,http://luobo.bkpcp.top/douyu/2935323 
怡宝影院原,http://luobo.bkpcp.top/douyu/434971 
小黛兮影原,http://luobo.bkpcp.top/douyu/11553944 
萌小鬼片原,http://luobo.bkpcp.top/douyu/3928 
神乐影剧原,http://luobo.bkpcp.top/douyu/122402 
可乐影院原,http://luobo.bkpcp.top/douyu/20415 
小宇60帧原,http://luobo.bkpcp.top/douyu/323876 
恐怖惊悚原,http://luobo.bkpcp.top/douyu/96577 
电影剧场原,http://luobo.bkpcp.top/douyu/7575350 
豆瓣高分原,http://luobo.bkpcp.top/douyu/8770422


综娱_贝爷求生,http://luobo.bkpcp.top/douyu/454867 
综娱_荒野求生,http://luobo.bkpcp.top/douyu/1339207 
综娱_荒野建造者,http://luobo.bkpcp.top/douyu/9611578 
综娱_大胡子魏,http://luobo.bkpcp.top/douyu/8792763 
综娱_科学放映室,http://luobo.bkpcp.top/douyu/9439712
综娱_舌尖上的火锅,http://luobo.bkpcp.top/douyu/9650849 
综娱_音悦喵点歌,http://luobo.bkpcp.top/douyu/3870925 
综娱_音乐点歌台,http://luobo.bkpcp.top/douyu/7537296 
综娱_经典小品,http://luobo.bkpcp.top/douyu/9067836 
综娱_赵本山小品,http://luobo.bkpcp.top/douyu/9817716 
综娱_开心麻花小品,http://luobo.bkpcp.top/douyu/10153463 
综娱_宋小宝小品,http://luobo.bkpcp.top/douyu/9817729 
综娱_许君聪小品,http://luobo.bkpcp.top/douyu/10419558 
综娱_贾玲小品,http://luobo.bkpcp.top/douyu/10419541 
综娱_经典相声，小品,http://luobo.bkpcp.top/douyu/9273031 
综娱_辽宁台相声小品,http://luobo.bkpcp.top/douyu/9403712 
动漫_动漫剧场1,http://luobo.bkpcp.top/douyu/426517 
动漫_动漫剧场2,http://luobo.bkpcp.top/douyu/7528160 
动漫_动漫剧场3,http://luobo.bkpcp.top/douyu/1487654 
动漫_动漫剧场4,http://luobo.bkpcp.top/douyu/997925 
动漫_开心锤锤,http://luobo.bkpcp.top/douyu/9018297 
动漫_茶啊二中,http://luobo.bkpcp.top/douyu/2925610 
动漫_搞笑动画,http://luobo.bkpcp.top/douyu/562225 
动漫_柯南剧场版,http://luobo.bkpcp.top/douyu/6484910 
动漫_料理小当家集,http://luobo.bkpcp.top/douyu/8231658 
动漫_王者峡谷生活【动漫】,http://luobo.bkpcp.top/douyu/9360149 
动漫_搞笑日记,http://luobo.bkpcp.top/douyu/9505575 
动漫_聊童年动画,http://luobo.bkpcp.top/douyu/9445279 
??閗魚劇场輪播,#genre#  
剧集_泊枫剧场1,http://luobo.bkpcp.top/douyu/7623292 
剧集_TVB剧场1,http://luobo.bkpcp.top/douyu/7655471 
剧集_TVB剧场2,http://luobo.bkpcp.top/douyu/4290711 
剧集_TVB剧场2,http://luobo.bkpcp.top/douyu/5522351 
剧集_经典港剧1,http://luobo.bkpcp.top/douyu/4549169 
剧集_经典港剧2,http://luobo.bkpcp.top/douyu/9548850 
剧集_经典神剧,http://luobo.bkpcp.top/douyu/3700024 
剧集_华语经典,http://luobo.bkpcp.top/douyu/3928 
剧集_舔狗动漫,http://luobo.bkpcp.top/douyu/7620081 
剧集_粤语剧集轮播,http://luobo.bkpcp.top/douyu/10338873 
剧集_粤语轮播港剧,http://luobo.bkpcp.top/douyu/9019945 
剧集_粤语港剧轮播,http://luobo.bkpcp.top/douyu/6478650 
剧集_三国演义,http://luobo.bkpcp.top/douyu/7459925 
剧集_风云,http://luobo.bkpcp.top/douyu/431460 
剧集_古装剧场,http://luobo.bkpcp.top/douyu/5908256 
剧集_小猪优版剧院,http://luobo.bkpcp.top/douyu/10297898 
剧集_欢乐剧场,http://luobo.bkpcp.top/douyu/7489563 
剧集_孙红雷【征服】,http://luobo.bkpcp.top/douyu/2726977 
剧集_快乐剧场,http://luobo.bkpcp.top/douyu/6863367 
 

 ??YY影視輪播,#genre#

新白娘子传奇,http://luobo.bkpcp.top/yy/1354490667
上海滩,http://luobo.bkpcp.top/yy/1382745184
老三国,http://luobo.bkpcp.top/yy/1354936241

国语译制电影,http://luobo.bkpcp.top/yy/2436390
4K画质播电影,http://luobo.bkpcp.top/yy/9249162 
第一滴血全集,http://luobo.bkpcp.top/yy/1354932355
速度与激情集,http://luobo.bkpcp.top/yy/1382736911 
漫威系列轮播,http://luobo.bkpcp.top/yy/1354932402 
变形金刚轮播,http://luobo.bkpcp.top/yy/1382736803 
哈利波特全集,http://luobo.bkpcp.top/yy/1382745105 
夺宝奇兵全集,http://luobo.bkpcp.top/yy/1382736833 
机械战警全集,http://luobo.bkpcp.top/yy/1382736854 
古惑仔国轮播,http://luobo.bkpcp.top/yy/1458015189 
黑衣一二轮播,http://luobo.bkpcp.top/yy/1354930936 
叠影重重全集,http://luobo.bkpcp.top/yy/1382735570 
83射雕英雄传,http://luobo.bkpcp.top/yy/1354210357 
95神雕侠侣粤,http://luobo.bkpcp.top/yy/1354926637 
96笑傲江湖版,http://luobo.bkpcp.top/yy/1354930909 
87经典红楼梦,http://luobo.bkpcp.top/yy/1382745084 
新白娘子轮播,http://luobo.bkpcp.top/yy/1354930969 
仙剑奇侠传剧,http://luobo.bkpcp.top/yy/1382749903 
花千骨电视剧,http://luobo.bkpcp.top/yy/1354943110 
少年歌行剧集,http://luobo.bkpcp.top/yy/1450556636 
鹊刀门传奇剧,http://luobo.bkpcp.top/yy/1355344777 
我的体育老师,http://luobo.bkpcp.top/yy/1382745169 
如果岁月轮播,http://luobo.bkpcp.top/yy/1382736883 
流金岁月轮播,http://luobo.bkpcp.top/yy/1382749906 
火蓝刀锋轮播,http://luobo.bkpcp.top/yy/1382737892 
二炮手电视剧,http://luobo.bkpcp.top/yy/1354930964 
炮神电视轮播,http://luobo.bkpcp.top/yy/22089862 
风筝电视轮播,http://luobo.bkpcp.top/yy/1354931585 
武林外传轮播,http://luobo.bkpcp.top/yy/1355652820 
笑声传奇轮播,http://luobo.bkpcp.top/yy/1382736880
笑傲帮集轮播,http://luobo.bkpcp.top/yy/1382735555 
笑傲江湖一季,http://luobo.bkpcp.top/yy/1382749896 
笑傲江湖二季,http://luobo.bkpcp.top/yy/1382736914 
欢乐集结号播,http://luobo.bkpcp.top/yy/1354931582 
欢乐集结号三,http://luobo.bkpcp.top/yy/1382736822 
欢乐集结号四,http://luobo.bkpcp.top/yy/1382736889 
金星脱口秀播,http://luobo.bkpcp.top/yy/1382735552 
吐槽大会京都,http://luobo.bkpcp.top/yy/1354936210 
吐槽大会海天,http://luobo.bkpcp.top/yy/1354932379 
吐槽大会二季,http://luobo.bkpcp.top/yy/1354936145
吐槽大会五季,http://luobo.bkpcp.top/yy/1354889009 
星际穿越,https://api.heimuer.app/play/f9b471ddd1ee425bb3c64a24f82561be.m3u8 
美国队长,http://luobo.bkpcp.top/yy/1382736813 
变形金刚,http://luobo.bkpcp.top/yy/1382736803 
九品芝麻官,http://luobo.bkpcp.top/yy/1354930968

??閗魚一起看,#genre#
新白娘子传奇,http://124.126.186.191:9999/yy/1354490667
新白娘子传奇,http://124.126.186.191:9999/yy/1354930969
上海滩,http://124.126.186.191:9999/yy/1382745184
封神榜,http://124.126.186.191:9999/yy/1353
老三国,http://124.126.186.191:9999/yy/1354936241


邵氏经典剧场,http://119.96.108.140:7001/douyu/4246519
邵氏经典剧场,http://8.209.242.147:80/douyu/4246519
邵氏经典剧场,http://58.32.42.85:23456/douyu/4246519
邵氏经典剧场,http://47.97.31.29:9999/douyu/4246519
邵氏经典剧场,http://61.133.118.228:5001/douyu/4246519
邵氏经典剧场,http://146.235.198.221:5820/douyu/4246519
邵氏经典剧场,http://121.25.251.239:8100/douyu/4246519
邵氏经典剧场,http://39.100.103.186:5000/douyu/4246519
邵氏经典剧场,http://146.235.206.247:5001/douyu/4246519

济公游记,http://119.96.108.140:7001/douyu/12486866
济公游记,http://8.209.242.147:80/douyu/12486866
济公游记,http://58.32.42.85:23456/douyu/12486866
济公游记,http://47.97.31.29:9999/douyu/12486866
济公游记,http://61.133.118.228:5001/douyu/12486866
济公游记,http://146.235.198.221:5820/douyu/12486866
济公游记,http://121.25.251.239:8100/douyu/12486866
济公游记,http://39.100.103.186:5000/douyu/12486866
济公游记,http://146.235.206.247:5001/douyu/12486866
西游记,http://124.126.186.191:9999/douyu/3113309

西游记,http://8.209.242.147:80/douyu/3113309
西游记,http://58.32.42.85:23456/douyu/3113309
西游记,http://47.97.31.29:9999/douyu/3113309
西游记,http://61.133.118.228:5001/douyu/3113309
西游记,http://146.235.198.221:5820/douyu/3113309
西游记,http://121.25.251.239:8100/douyu/3113309
西游记,http://39.100.103.186:5000/douyu/3113309
西游记,http://146.235.206.247:5001/douyu/3113309

龙视欢乐,http://119.96.108.140:7001/douyu/9374836
龙视欢乐,http://8.209.242.147:80/douyu/9374836
龙视欢乐,http://58.32.42.85:23456/douyu/9374836
龙视欢乐,http://47.97.31.29:9999/douyu/9374836
龙视欢乐,http://61.133.118.228:5001/douyu/9374836
龙视欢乐,http://146.235.198.221:5820/douyu/9374836
龙视欢乐,http://121.25.251.239:8100/douyu/9374836
龙视欢乐,http://39.100.103.186:5000/douyu/9374836
龙视欢乐,http://146.235.206.247:5001/douyu/9374836

橙記Orange,http://119.96.108.140:7001/douyu/4549169
橙記Orange,http://8.209.242.147:80/douyu/4549169
橙記Orange,http://47.97.31.29:9999/douyu/4549169
橙記Orange,http://61.133.118.228:5001/douyu/4549169
橙記Orange,http://58.32.42.85:23456/douyu/4549169
橙記Orange,http://121.25.251.239:8100/douyu/4549169
橙記Orange,http://39.100.103.186:5000/douyu/4549169
橙記Orange,http://146.235.206.247:5001/douyu/4549169

武侠剧场,http://119.96.108.140:7001/douyu/9285904
武侠剧场,http://8.209.242.147:80/douyu/9285904
武侠剧场,http://58.32.42.85:23456/douyu/9285904
武侠剧场,http://47.97.31.29:9999/douyu/9285904
武侠剧场,http://61.133.118.228:5001/douyu/9285904
武侠剧场,http://146.235.198.221:5820/douyu/9285904
武侠剧场,http://121.25.251.239:8100/douyu/9285904
武侠剧场,http://39.100.103.186:5000/douyu/9285904
武侠剧场,http://146.235.206.247:5001/douyu/9285904

贝贝,http://119.96.108.140:7001/douyu/431460
贝贝,http://8.209.242.147:80/douyu/431460
贝贝,http://47.97.31.29:9999/douyu/431460
贝贝,http://61.133.118.228:5001/douyu/431460
贝贝,http://58.32.42.85:23456/douyu/
贝贝,http://146.235.198.221:5820/douyu/431460
贝贝,http://121.25.251.239:8100/douyu/431460
贝贝,http://39.100.103.186:5000/douyu/431460
贝贝,http://146.235.206.247:5001/douyu/431460


精彩短剧,http://119.96.108.140:7001/douyu/11824307
精彩短剧,http://8.209.242.147:80/douyu/11824307
精彩短剧,http://58.32.42.85:23456/douyu/11824307
精彩短剧,http://47.97.31.29:9999/douyu/11824307
精彩短剧,http://61.133.118.228:5001/douyu/11824307
精彩短剧,http://58.32.42.85:23456/douyu/
精彩短剧,http://146.235.198.221:5820/douyu/11824307
精彩短剧,http://121.25.251.239:8100/douyu/11824307
精彩短剧,http://39.100.103.186:5000/douyu/11824307
精彩短剧,http://146.235.206.247:5001/douyu/11824307


小毅影院,http://119.96.108.140:7001/douyu/6906628
小毅影院,http://8.209.242.147:80/douyu/6906628
小毅影院,http://58.32.42.85:23456/douyu/6906628
小毅影院,http://47.97.31.29:9999/douyu/6906628
小毅影院,http://61.133.118.228:5001/douyu/6906628
小毅影院,http://146.235.198.221:5820/douyu/6906628
小毅影院,http://121.25.251.239:8100/douyu/6906628
小毅影院,http://39.100.103.186:5000/douyu/6906628
小毅影院,http://146.235.206.247:5001/douyu/6906628

小毅影院2,http://119.96.108.140:7001/douyu/11851549
